Product ID;Attribute (Name:Type:Position);Value (Value:Position);
1;"Catalog - Quantity":select:1;"15,000":25
1;"Catalog - Quantity":select:1;"17,500":26
1;"Catalog - Quantity":select:1;"20,000":27
1;"Catalog - Three-Hole Punch":select:1;"No Holes":0
1;"Catalog - Three-Hole Punch":select:1;'3/16" Hole Size':1
1;"Catalog - Three-Hole Punch":select:1;'1/4" Hole Size':2
1;"Catalog - Three-Hole Punch":select:1;'5/16" Hole Size':3
1;"Brochure - Size":select:1;"8.5x11":0
1;"Brochure - Size":select:1;"8.5x14":1
1;"Brochure - Size":select:1;"11x17":2
1;"Brochure - Size":select:1;"11x25.5":3
1;"Brochure - Color":select:1;"Color Outside and Blank Inside":0
1;"Brochure - Color":select:1;"Color Outside, Black & White Inside":1
1;"Brochure - Color":select:1;"Full Color Both Sides":2
1;"Brochure - Paper":select:1;"100 lb. Gloss Text":0
1;"Brochure - Paper":select:1;"70 lb. Recycled Matte Text":1
1;"Brochure - Paper":select:1;"100 lb. Gloss Cover":2
1;"Brochure - Paper":select:1;"80 lb. Recycled Matte Cover":3
1;"Brochure - Paper":select:1;"13 pt. Recycled Matte Cover":4
1;"Brochure - Hole Drilling":select:1;"No Hole":0
1;"Brochure - Hole Drilling":select:1;"3/16" Hole Size":1
1;"Brochure - Hole Drilling":select:1;"1/4" Hole Size":2
1;"Brochure - Hole Drilling":select:1;"5/16" Hole Size":3
1;"Brochure - Perforation":select:1;"No":0
1;"Brochure - Perforation":select:1;"Yes":1
1;"Brochure - Folding":select:1;"Flat (No Folding)":0
1;"Brochure - Folding":select:1;"Tri-Fold / Letter-Fold":1
1;"Brochure - Folding":select:1;"Half-Fold":2
1;"Brochure - Folding":select:1;"Z-Fold":3
1;"Brochure - Folding":select:1;"Double Parallel Fold":4
1;"Brochure - Folding":select:1;"Right-Angle Half Fold":5
1;"Brochure - Folding":select:1;"Accordion Fold":6
1;"Brochure - Folding":select:1;"Gate Fold":7
1;"Brochure - Folding":select:1;"Double Gate Fold":8
1;"Brochure - Proof":select:1;"No Hardcopy Proof":0
1;"Brochure - Proof":select:1;"Standard Hardcopy Proof":1
1;"Brochure - Proof":select:1;"Next Day Hardcopy Proof":2
1;"Brochure - Quantity":select:1;"50":0
1;"Brochure - Quantity":select:1;"100":1
1;"Brochure - Quantity":select:1;"150":2
1;"Brochure - Quantity":select:1;"200":3
1;"Brochure - Quantity":select:1;"250":4
1;"Brochure - Quantity":select:1;"500":5
1;"Brochure - Quantity":select:1;"1,000":6
1;"Brochure - Quantity":select:1;"2,000":7
1;"Brochure - Quantity":select:1;"3,000":8
1;"Brochure - Quantity":select:1;"4,000":9
1;"Brochure - Quantity":select:1;"5,000":10
1;"Brochure - Quantity":select:1;"6,000":11
1;"Brochure - Quantity":select:1;"7,000":12
1;"Brochure - Quantity":select:1;"8,000":13
1;"Brochure - Quantity":select:1;"9,000":14
1;"Brochure - Quantity":select:1;"10,000":15
1;"Brochure - Quantity":select:1;"15,000":16
1;"Brochure - Quantity":select:1;"20,000":17
1;"Brochure - Quantity":select:1;"25,000":18
1;"Brochure - Quantity":select:1;"30,000":19
1;"Brochure - Quantity":select:1;"35,000":20
1;"Brochure - Quantity":select:1;"40,000":21
1;"Brochure - Quantity":select:1;"45,000":22
1;"Brochure - Quantity":select:1;"50,000":23
1;"Brochure - Quantity":select:1;"60,000":24
1;"Brochure - Quantity":select:1;"70,000":25
1;"Brochure - Quantity":select:1;"80,000":26
1;"Brochure - Quantity":select:1;"90,000":27
1;"Brochure - Quantity":select:1;"100,000":28
1;"Brochure - Quantity":select:1;"110,000":29
1;"Brochure - Quantity":select:1;"120,000":30
1;"Brochure - Quantity":select:1;"130,000":31
1;"Brochure - Quantity":select:1;"140,000":32
1;"Brochure - Quantity":select:1;"150,000":33
1;"Brochure - Production Turnaround":select:1;"Economy(5 Business Days)":0
1;"Brochure - Production Turnaround":select:1;"Standard(3 Business Days)":1
1;"Brochure - Production Turnaround":select:1;"Express(2 Business Days)":2
1;"Brochure - Production Turnaround":select:1;"Rush(1 Business Day)":3
